Train Epoch: 1 [0/60000 (0%)]	Loss: 2.299075
Train Epoch: 1 [640/60000 (1%)]	Loss: 2.300915
Train Epoch: 1 [1280/60000 (2%)]	Loss: 2.301116
Train Epoch: 1 [1920/60000 (3%)]	Loss: 2.300317
Train Epoch: 1 [2560/60000 (4%)]	Loss: 2.308052
Train Epoch: 1 [3200/60000 (5%)]	Loss: 2.294009
Train Epoch: 1 [3840/60000 (6%)]	Loss: 2.304066
Train Epoch: 1 [4480/60000 (7%)]	Loss: 3.321070
Train Epoch: 1 [5120/60000 (9%)]	Loss: 2.536385
Train Epoch: 1 [5760/60000 (10%)]	Loss: 2.293710
Train Epoch: 1 [6400/60000 (11%)]	Loss: 2.308343
Train Epoch: 1 [7040/60000 (12%)]	Loss: 2.300808
Train Epoch: 1 [7680/60000 (13%)]	Loss: 2.300074
Train Epoch: 1 [8320/60000 (14%)]	Loss: 2.295427
Train Epoch: 1 [8960/60000 (15%)]	Loss: 2.290114
Train Epoch: 1 [9600/60000 (16%)]	Loss: 2.296931
Train Epoch: 1 [10240/60000 (17%)]	Loss: 2.296337
Train Epoch: 1 [10880/60000 (18%)]	Loss: 2.302540
Train Epoch: 1 [11520/60000 (19%)]	Loss: 2.298485
Train Epoch: 1 [12160/60000 (20%)]	Loss: 2.296186
Train Epoch: 1 [12800/60000 (21%)]	Loss: 2.302546
Train Epoch: 1 [13440/60000 (22%)]	Loss: 2.304214
Train Epoch: 1 [14080/60000 (23%)]	Loss: 2.305674
Train Epoch: 1 [14720/60000 (25%)]	Loss: 2.298791
Train Epoch: 1 [15360/60000 (26%)]	Loss: 2.306284
Train Epoch: 1 [16000/60000 (27%)]	Loss: 2.308214
Train Epoch: 1 [16640/60000 (28%)]	Loss: 2.294296
Train Epoch: 1 [17280/60000 (29%)]	Loss: nan
Train Epoch: 1 [17920/60000 (30%)]	Loss: nan
Train Epoch: 1 [18560/60000 (31%)]	Loss: nan
Train Epoch: 1 [19200/60000 (32%)]	Loss: nan
Train Epoch: 1 [19840/60000 (33%)]	Loss: nan
Train Epoch: 1 [20480/60000 (34%)]	Loss: nan
Train Epoch: 1 [21120/60000 (35%)]	Loss: nan
Train Epoch: 1 [21760/60000 (36%)]	Loss: nan
Train Epoch: 1 [22400/60000 (37%)]	Loss: nan
Train Epoch: 1 [23040/60000 (38%)]	Loss: nan
Train Epoch: 1 [23680/60000 (39%)]	Loss: nan
Train Epoch: 1 [24320/60000 (41%)]	Loss: nan
Train Epoch: 1 [24960/60000 (42%)]	Loss: nan
Train Epoch: 1 [25600/60000 (43%)]	Loss: nan
Train Epoch: 1 [26240/60000 (44%)]	Loss: nan
Train Epoch: 1 [26880/60000 (45%)]	Loss: nan
Train Epoch: 1 [27520/60000 (46%)]	Loss: nan
Train Epoch: 1 [28160/60000 (47%)]	Loss: nan
Train Epoch: 1 [28800/60000 (48%)]	Loss: nan
Train Epoch: 1 [29440/60000 (49%)]	Loss: nan
Train Epoch: 1 [30080/60000 (50%)]	Loss: nan
Train Epoch: 1 [30720/60000 (51%)]	Loss: nan
Train Epoch: 1 [31360/60000 (52%)]	Loss: nan
Train Epoch: 1 [32000/60000 (53%)]	Loss: nan
Train Epoch: 1 [32640/60000 (54%)]	Loss: nan
Train Epoch: 1 [33280/60000 (55%)]	Loss: nan
Train Epoch: 1 [33920/60000 (57%)]	Loss: nan
Train Epoch: 1 [34560/60000 (58%)]	Loss: nan
Train Epoch: 1 [35200/60000 (59%)]	Loss: nan
Train Epoch: 1 [35840/60000 (60%)]	Loss: nan
Train Epoch: 1 [36480/60000 (61%)]	Loss: nan
Train Epoch: 1 [37120/60000 (62%)]	Loss: nan
Train Epoch: 1 [37760/60000 (63%)]	Loss: nan
Train Epoch: 1 [38400/60000 (64%)]	Loss: nan
Train Epoch: 1 [39040/60000 (65%)]	Loss: nan
Train Epoch: 1 [39680/60000 (66%)]	Loss: nan
Train Epoch: 1 [40320/60000 (67%)]	Loss: nan
Train Epoch: 1 [40960/60000 (68%)]	Loss: nan
Train Epoch: 1 [41600/60000 (69%)]	Loss: nan
Train Epoch: 1 [42240/60000 (70%)]	Loss: nan
Train Epoch: 1 [42880/60000 (71%)]	Loss: nan
Train Epoch: 1 [43520/60000 (72%)]	Loss: nan
Train Epoch: 1 [44160/60000 (74%)]	Loss: nan
Train Epoch: 1 [44800/60000 (75%)]	Loss: nan
Train Epoch: 1 [45440/60000 (76%)]	Loss: nan
Train Epoch: 1 [46080/60000 (77%)]	Loss: nan
Train Epoch: 1 [46720/60000 (78%)]	Loss: nan
Train Epoch: 1 [47360/60000 (79%)]	Loss: nan
Train Epoch: 1 [48000/60000 (80%)]	Loss: nan
Train Epoch: 1 [48640/60000 (81%)]	Loss: nan
Train Epoch: 1 [49280/60000 (82%)]	Loss: nan
Train Epoch: 1 [49920/60000 (83%)]	Loss: nan
Train Epoch: 1 [50560/60000 (84%)]	Loss: nan
Train Epoch: 1 [51200/60000 (85%)]	Loss: nan
Train Epoch: 1 [51840/60000 (86%)]	Loss: nan
Train Epoch: 1 [52480/60000 (87%)]	Loss: nan
Train Epoch: 1 [53120/60000 (88%)]	Loss: nan
